glm_RTecho2	kalm_RTecho2	glm_RTcombinedTSNR	kalm_RTcombinedTSNR	glm_RTcombinedT2STAR	kalm_RTcombinedT2STAR	glm_RTcombinedTE	kalm_RTcombinedTE	glm_RTcombinedRTt2star	kalm_RTcombinedRTt2star	glm_RTt2starFIT	kalm_RTt2starFIT	glm_RTs0FIT	kalm_RTs0FIT
0	0	0	0	0	0	0	0	0	0	0	0	0	0
-7.18432644280415	-0.716495381220394	-8.86449110424664	-2.87106722435992	-8.25338491831942	-4.88861408897581	-7.39755261172123	-5.93759907792456	-8.5947800688786	-7.11423168211104	-5.13989301218646	-7.11423168211104	-10.7887563175662	-9.21044058588469
15.4329176245734	-11.040069966896	15.228448292979	6.09487457245836	15.1472057419646	9.80397191466061	16.1769994641382	12.4956425009965	16.0188367266969	14.1228131150145	21.4039898887264	14.1228131150145	3.84360720228844	5.30388230154268
21.7737537298722	6.40119285337454	20.6775886680725	11.7294212158072	21.1502056336776	15.410208684454	22.5294924010575	18.3767060823452	18.8648933101135	18.6181162749029	30.1753051124784	18.6181162749029	-0.546258989515146	2.73833810559822
25.9360727012502	6.99400148340835	25.6127873207551	13.7913267441979	25.7099714350573	18.4384974047911	26.639855777171	21.8528477952882	24.1090127172754	22.929764110797	23.8418206846492	22.929764110797	1.73327864593182	5.19900613849625
21.1886288501263	6.23348022080137	20.5032362268587	11.5503455956453	20.6160516262619	15.0947475498518	21.7059540751338	17.8464090489863	18.4993825711743	18.1623352452147	28.0201903813514	18.1623352452147	-0.262940375582705	2.84772565760629
20.1148204987824	5.50767154352167	20.1566717778192	10.8550609696852	20.2173754372735	14.505390673377	20.89140104056	17.1632244368071	18.7462492455257	17.9200595666337	23.1767419169554	17.9200595666337	0.642913997233286	3.5072031886906
17.2712474034846	4.93550319005649	17.40969407621	9.52035339161844	17.4171880158957	12.6027079132414	18.2560829586183	14.9564462067728	15.3752713042151	15.159965649542	19.7858359904481	15.159965649542	0.189345250570188	2.69147057860145
-10.2630242109257	3.22612400834981	-9.65401543282606	-3.04104567190968	-9.87143705085043	-5.79838974731298	-10.4892401831632	-7.77825013545529	-8.76450912004533	-8.25157687328998	-13.1842311785079	-8.25157687328998	0.74145570807119	-0.776677908195259
-8.62707883614805	-2.11899537467955	-8.51307854170833	-4.41082539303985	-8.53163489398151	-6.01196944791555	-8.98709930636117	-7.25292646089206	-8.38033080929926	-7.79323966188735	-9.31876030403949	-7.79323966188735	-0.0921586624979485	-1.35247059346739
-9.51270843660235	-2.46161684981206	-9.23647991448677	-4.91970072290942	-9.33942017848836	-6.63883887280914	-9.9550824780927	-8.02212542242126	-8.48551313978904	-8.24312832730234	-12.2154329501496	-8.24312832730234	0.192475552838438	-1.18274525699065
-14.5184728292025	-3.36864640749977	-14.1970480911908	-7.20673467933234	-14.2860538648245	-9.95019087525235	-14.9321224110317	-12.0282665088754	-13.4208338649372	-12.6957691487955	-12.7656621935021	-12.6957691487955	-0.928126708975004	-2.81635477703765
-7.79083695779783	-2.64411256068315	-8.07431028411104	-4.71943918551837	-8.08562820058922	-6.04203960870713	-8.03447722724661	-6.87254784221524	-7.98700100338942	-7.4071807484528	-5.41905995270891	-7.4071807484528	0.986164210162784	-0.356613418538509
-1.61689902061713	-0.460021330751058	-2.68259254887927	-1.21006738809104	-2.70378092672795	-1.78434351560963	-2.03793000256042	-1.88959205418067	-3.11342045470524	-2.47741685215924	8.21681098663489	-2.47741685215924	-1.3789604025723	-1.55763288291107
-1.40545403672932	-0.88779266754857	-2.15065047517793	-1.41453823421523	-1.94050731128771	-1.63090398477458	-1.88029142576325	-1.73448011126109	-2.64539249482194	-2.17169316372699	0.994143086307894	-2.17169316372699	-0.527684744458796	-0.792186502482693
-9.80824593562572	-2.23347246561017	-9.52084529920274	-4.80677414042385	-9.60132995885068	-6.66291280107511	-10.092392870482	-8.09346787978726	-8.96634125401203	-8.51150140171223	-11.2976048678573	-8.51150140171223	-1.79107184395276	-2.87440211265389
-13.6082043515864	-3.80917732660496	-12.5055121415253	-7.06724298669158	-12.6099769695255	-9.23512617446831	-13.6521163816136	-11.0775833474458	-10.917752372941	-10.9967424138833	-23.3422775735003	-10.9967424138833	1.16425037553155	-0.751765486515827
-4.96241347943126	-1.26587958485077	-5.40571128848211	-2.72680292049312	-5.18209431922209	-3.68116470526469	-5.26711816862983	-4.34275173839465	-5.54815344519577	-4.92250778673111	-1.94938069814217	-4.92250778673111	-3.73684182166561	-3.95052591547455
1.94773132239273	-1.21660426573254	1.55631216164628	-0.570459222048923	1.68276243570513	0.261084617313566	1.62686691203511	0.830628894406332	1.65488246212483	1.22774971760312	-1.00859214864807	1.22774971760312	0.163259037008071	0.333965368806297
-6.66010361521406	-1.15610149863275	-6.3363577704585	-2.91598089344982	-6.29832671196857	-4.21861600278949	-6.84454883746557	-5.31377695689693	-5.5261736923794	-5.41441794965452	-10.1628474919995	-5.41441794965452	-2.64277302406162	-3.09914043868205
-15.0448709362482	-4.17831584320904	-14.3427148863739	-7.94111872561871	-14.3739273882101	-10.4532802347506	-15.4071881206667	-12.5198360923969	-12.3834478554903	-12.4479244293701	-23.1368624326113	-12.4479244293701	-2.15217895122516	-3.80932248983854
