glm_RTecho2	kalm_RTecho2	glm_RTcombinedTSNR	kalm_RTcombinedTSNR	glm_RTcombinedT2STAR	kalm_RTcombinedT2STAR	glm_RTcombinedTE	kalm_RTcombinedTE	glm_RTcombinedRTt2star	kalm_RTcombinedRTt2star	glm_RTt2starFIT	kalm_RTt2starFIT	glm_RTs0FIT	kalm_RTs0FIT
-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	0	-0
2.66027517298151	3.5863243536335	2.64088283445834	2.2486670149367	2.77735183856463	2.49526891184037	2.5705091113597	2.53412251823805	2.94820563750929	2.73370318193551	0.933371074501082	2.73370318193551	-14.0814246589112	82.1931650592615
5.1040321594717	20.9873037033147	5.47970540167486	7.02656896238696	5.50649770570727	6.11002623794686	4.99680811244807	5.49558327142417	6.33392182179236	5.91040530081252	1.34029158091774	5.91040530081252	-10.0532133939187	86.4128345799928
0.732656851064507	26.2849786793911	0.790550065712271	2.25540410987798	0.931889304739142	1.4401472142763	0.724211300365736	1.03694530481491	1.16523871712531	1.10020631915896	-0.917613997280209	1.10020631915896	-4.03988340695438	26.3889498149292
5.07697826665884	8.02696713547613	5.21131881061305	5.70517399305056	5.12998519714401	5.37498974330179	4.99349112053573	5.16822631515911	6.03018429514314	5.58875592972652	3.76660232437057	5.58875592972652	-6.23834634774957	66.459423663852
6.32600059999107	23.59335720561	6.42686641778846	8.11031223073917	6.33020450076169	7.03798934313074	6.06921171526407	6.50528016457311	7.04401562873621	6.76884806339678	3.8226036899441	6.76884806339678	3.328637002998	28.3122417027207
4.78667758738544	16.4768548159764	4.99041999496808	6.02304070934022	4.9360016217262	5.36265403537111	4.6424520396035	4.96654714868859	5.65511378733679	5.30169120660772	1.58476022214935	5.30169120660772	-0.218341935211496	35.7224902109871
1.71633815816528	7.82433242558528	1.82269636893825	2.46159606876705	1.87823494892279	2.11133186003261	1.76753403931973	1.92253107795672	2.10771672452544	2.01322238313076	0.348195704200369	2.01322238313076	-5.65383305728295	40.1976206932982
-4.18087770351804	12.2272762839124	-4.26664126189971	-2.52756746874189	-4.2780533459154	-3.58015041038121	-3.97022171957207	-3.79938443383772	-4.79235117190974	-4.28059716032658	-2.04761469262433	-4.28059716032658	6.76730495665415	-60.896438939854
-2.27141727629838	-12.3381634201532	-2.36856571626473	-3.54727407702531	-2.37373930709855	-2.85407528244185	-2.12942504542083	-2.45609019485658	-2.75069487485	-2.6010993333949	-0.718638811355087	-2.6010993333949	3.81682293406715	-35.6161539959216
-1.77992333194575	-8.38026827190648	-1.78729831710857	-2.53407758856316	-1.84393567236851	-2.12298009956226	-1.88834046339632	-1.99379784536702	-1.80491340364603	-1.90520844808233	-2.27941598454566	-1.90520844808233	1.64354624384823	-20.3377188789758
-3.05858144288281	-9.97727154900037	-3.1218501330314	-3.71423232824383	-2.99882789038729	-3.2794262175438	-2.90730549419432	-3.07453672967507	-3.27307090021056	-3.17280769687993	-0.858820264553054	-3.17280769687993	-7.41309501513668	17.656681294255
-2.16560415062199	-3.46594516755585	-2.25688242103084	-2.10634454941254	-2.18348687063483	-2.13319554686288	-2.21311476167225	-2.17554308940463	-2.61046873985685	-2.38681309202155	-0.85633411550579	-2.38681309202155	-0.0828335930310083	-14.5374046188004
-4.38638834144855	-12.3410376474163	-4.67003019808776	-5.14790315136162	-4.5440589614822	-4.76410278511576	-4.47809495700872	-4.60473978030795	-5.17845400800802	-4.88501669490468	-2.90213087524094	-4.88501669490468	-5.56404015804567	-1.23628722032052
-3.1165497974776	-7.61412786225241	-3.31073232827917	-3.46894250059215	-3.29994331427113	-3.34429044995287	-3.05500456529729	-3.1843378157409	-3.96797473652412	-3.56427587578042	-1.20265805675624	-3.56427587578042	4.44059372253072	-45.2011002986716
-0.6422691575907	-6.84812668967762	-0.98365549287474	-1.74987304381729	-1.06944245824938	-1.35098021152389	-0.775670989412066	-1.03641672057905	-1.48296493858882	-1.25175767275669	0.740264709021878	-1.25175767275669	6.21581005422892	-39.6977325304661
-1.23465121340208	-7.54562535511337	-1.16858528223671	-1.98128167724028	-1.16486773871128	-1.50331130321973	-1.13488392946828	-1.30143193913542	-1.54061594449864	-1.41791275454654	-0.898509585257352	-1.41791275454654	2.90179177342618	-23.7264088701112
-0.964657038147201	-5.06790322494751	-0.963057709994864	-1.45372608902582	-0.956331336201138	-1.16049303633557	-0.908814622349285	-1.02249940424352	-0.851143734017895	-0.941983602278587	-0.595675786453008	-0.941983602278587	-0.7176244843226	-2.23662989327637
-2.47009477012751	-6.44100110702793	-2.55847156935588	-2.7738963337673	-2.52310707238734	-2.60946708729452	-2.35430208811472	-2.4687279487304	-2.92056591189482	-2.68878134649244	-0.936728158417843	-2.68878134649244	2.82922297406271	-31.3297812336281
-1.02433852731417	-6.0734309430713	-1.12529045037343	-1.72254405565035	-1.12821047212546	-1.37231407392376	-0.95689133133652	-1.14479065658926	-1.27573380254402	-1.20924192381137	0.0132800709136603	-1.20924192381137	-0.439539472103223	-5.32774753498172
-0.413027605061278	-1.63450713931086	-0.400645223134976	-0.531483063246181	-0.357402126344463	-0.428682202396584	-0.37091035291478	-0.396911060877818	-0.456053686766186	-0.425832752037912	-0.0298734936574744	-0.425832752037912	2.27022614998727	-14.2689288189925
-1.20382472527564	-4.62400389935324	-1.26916948619902	-1.59776140717421	-1.24115813225564	-1.38304958186617	-1.13072345659303	-1.24454736048273	-1.41104693989033	-1.32617335774508	-0.516857438536798	-1.32617335774508	-4.82061211698016	16.2442124281589
0.470175318956054	2.98405961427927	0.701353671244076	0.949262133709747	0.696384210808031	0.798485394966296	0.501452737673633	0.635856110752862	0.905776405991453	0.765975512749336	-0.290310150750297	0.765975512749336	-6.83514272064704	39.4958007687021
-2.67027631625077	12.0137973274074	-2.78338473044374	-1.34652057105524	-2.74921925486614	-2.19395767383293	-2.5795562746884	-2.40962563162889	-3.20796760252684	-2.79569084737225	-1.46233344549513	-2.79569084737225	3.45325654606643	-35.1375791681572
-1.37868119257496	-7.33989380485699	-1.33307600515515	-2.06084053718097	-1.37132336939218	-1.65391056494225	-1.41200834289928	-1.52095230050266	-1.29217053060935	-1.41393198428379	-1.36774599029812	-1.41393198428379	-1.32588269028589	-2.18396118659858
-3.12739991269091	-8.16304773035984	-3.32082579809248	-3.57118213307368	-3.21813008741694	-3.34261184044868	-3.0989581860433	-3.20779935798305	-3.83532164497109	-3.51316294487593	-2.17326533564691	-3.51316294487593	7.24014014289382	-58.7307026457824
-1.72385977054183	-10.7069458220987	-1.84185460437624	-2.93259493594874	-1.87233236325621	-2.30858545668266	-1.69225556714091	-1.97075514667789	-2.02747687592511	-2.00116371170428	-0.680216752863509	-2.00116371170428	1.34060699446835	-19.4191429008205
-0.884498728884147	-4.35184004051096	-0.737065251903003	-1.18371816776881	-0.735021712991079	-0.920084538574591	-0.746407414164986	-0.824754847064717	-0.8440782895022	-0.835368359447987	-0.587562653228998	-0.835368359447987	6.68405451394569	-38.7751488081384
0.676014333270395	-2.23554055411564	0.636256027990404	0.10461632760703	0.589151746010423	0.378711958484625	0.606776779429264	0.503137056834164	0.443096674921804	0.475222831735909	0.837408744770245	0.475222831735909	0.148901119672749	2.27307844184188
-0.26204029173395	-0.452585004691444	-0.161691293434887	-0.182603919041297	-0.0660272060036333	-0.115051196631195	-0.270736996282925	-0.200064208399802	-0.12866979633569	-0.16623640787966	-0.960487671341404	-0.16623640787966	-6.01999267811011	28.9842437947987
0.201403522384957	3.48727371162846	0.226786479119238	0.691086969119722	0.213030616450911	0.414421931375953	0.285803577477755	0.343948160017519	0.0555487077517949	0.206498727235816	1.26524734001952	0.206498727235816	-3.53044229301316	18.9193912335366
2.31811312953165	8.04482254339813	2.40847367091676	2.91923368024146	2.30519860153129	2.54825956609692	2.248858824836	2.38344335984161	2.57608122754217	2.4792504334239	1.19541280667805	2.4792504334239	8.68565932227464	-27.1642444399827
1.73984729356824	-8.26279556060335	1.76412889222496	0.913377176051137	1.704264426009	1.39685599868548	1.64067617265022	1.53353168994322	2.20229489166663	1.85650460446907	0.963686469678444	1.85650460446907	3.77874955306863	-6.85269888842531
0.916170694293526	1.78394151600524	0.978611758349644	0.961144336702382	0.989706200649598	0.970217624737094	0.962037658335175	0.965267222200792	0.993186853448448	0.980130232773279	0.0701469988020532	0.980130232773279	5.87316022696579	-22.717713388492
3.08397686160617	-6.91025372519472	3.01870531169263	2.19915680078827	2.93060251432417	2.64936879986043	3.06625766558652	2.88248176327439	3.21275777945812	3.04379521614466	4.02301668523208	3.04379521614466	8.03157232411374	-20.0428426791201
5.37734753871188	-6.09661394694069	5.51035665454881	4.5307118301678	5.34551726218638	5.03544753484923	5.36286736672746	5.21889951811893	5.76608051459495	5.48482934788814	4.39048782284683	5.48482934788814	10.8449115999755	-18.2215198533219
7.8006059388967	-5.54260559995055	8.01175681585972	6.76519852672189	7.85694386328453	7.43842225966545	7.66271859239573	7.56433906353876	8.96287247261123	8.24268297348828	7.5968752481232	8.24268297348828	1.75301243336536	43.5324270768209
5.62581436207009	19.0939162686939	5.68455322358517	6.90609757807137	5.64776224140509	6.13895666566191	5.51000578779099	5.79149361516929	5.68427310455414	5.74026788925353	4.1890312641875	5.74026788925353	24.3165447284333	-81.2567744768454
6.10170560756944	-24.7166129321082	6.28261837527945	3.84993813211104	6.14457267851809	5.26708728493393	6.00334530601628	5.67572218608048	6.89627127528001	6.26705615430509	4.86055259166188	6.26705615430509	7.07540980573257	5.74847654734241
6.6703803215524	1.74856645104035	6.76693774577385	6.44717504452198	6.72928833206306	6.63462475766285	6.38237245781698	6.49769366875172	7.49676906907492	6.98088645187095	4.04554836313134	6.98088645187095	6.5875144615283	12.3850207407522
5.71860097348502	3.76726452380329	5.5511469652712	5.47248284685088	5.55833880648228	5.53655273112901	5.45237392370332	5.4917346474109	5.69688634425997	5.58748944090558	4.94930256618275	5.58748944090558	11.042750685731	-18.4462190539961
1.03405376621805	0.988580446517193	0.754979000859573	0.685145292364853	0.92215375585687	0.815577956413732	0.968629503708474	0.897840311856804	0.562840081227696	0.734841720568414	1.69659510975668	0.734841720568414	4.87827600878634	-19.2573911482011
0.743555372719081	0.131335480685096	0.713786277853425	0.527356650331459	0.777468634487452	0.666387303931304	0.867063486275829	0.774646896433116	0.916576534042084	0.843401673958312	1.90017412223434	0.843401673958312	-1.09427040630043	10.7967979009294
3.39365675811148	10.2040698256918	3.36382660591974	3.92283320319472	3.39501574563993	3.59413151076022	3.39233594288655	3.48101283006151	3.5090535554871	3.49339812630697	3.03039688488686	3.49339812630697	-4.39748018639132	44.0528777201301
0.295026622760587	5.08174538164255	0.0603432797650606	0.804676650259878	0.108955314968924	0.402049413051545	0.252044332575959	0.3202510586843	-0.0150393935343715	0.157125760944861	1.51138993268647	0.157125760944861	-3.19862811678274	16.7067182137321
0.897729039183752	4.05102785847945	1.06129248271481	1.36233498357195	1.02804430143975	1.16204151436715	0.95119016248765	1.04646541217469	1.29376791853985	1.16634183816396	0.0100092982268286	1.16634183816396	-0.0795811375371564	7.89186951417177
-1.55665272336219	-3.44075552514902	-1.53446497702322	-1.60761170651258	-1.44924724943919	-1.50600831811724	-1.38863397119764	-1.44081297488167	-1.65447820527123	-1.54419687150589	-0.548110214581628	-1.54419687150589	-3.87938326242629	9.0986809853403
-1.3403163674738	-2.74220870272253	-1.57508308929202	-1.53168254861213	-1.48961274561731	-1.49699145554896	-1.35351630931728	-1.41764766360698	-1.9467259151734	-1.67434288178254	-0.558003831149573	-1.67434288178254	-2.4157751227396	1.09038904112536
0.0256044843218958	0.175084732930962	0.0260362943351017	0.0447674415855719	0.0415728559926132	0.0426323610392659	0.0533860753185444	0.048426678666573	-0.0677842134003922	-0.00805277617370689	0.0267310857649014	-0.00805277617370689	0.0818888171752607	-0.453733737289736
1.11725216312188	2.98297869079445	1.1548637286369	1.26890273377725	1.15676144078598	1.1960595263668	1.1302835804798	1.1591823617251	0.874889305324847	1.02071064385738	0.0100697590119383	1.02071064385738	3.2642867119444	-9.45562267030338
1.68761786204548	3.65545110242735	1.74910842164429	1.79255631179042	1.79509021243958	1.78150864463082	1.61509206942747	1.68943910295171	1.87399023613203	1.77865021301934	0.754916702526128	1.77865021301934	2.33166022152874	-0.00614432377479988
0.103284122406275	0.279189341201842	0.0197904431471389	0.0559302471414701	0.117500642198082	0.0906838936302935	0.203077125261567	0.151604937525756	-0.0808566974522931	0.0386249264482016	0.412193767361051	0.0386249264482016	6.73344037530332	-32.760299115005
0.325237565118227	-2.27190754818205	0.233535184153378	-0.173853285577187	0.25708100856318	0.0733720841487023	0.34553530569448	0.221049999355451	0.238793946053151	0.229613757050806	1.3554029704453	0.229613757050806	-2.34689311381525	12.977365264322
0.107317483600856	1.53907446683848	0.0855233339425197	0.291263977068061	0.141733646654926	0.203871986322	0.107925800602097	0.151589238946124	-0.0630498530426497	0.0472770417615619	-0.0888497122534236	0.0472770417615619	3.7218457788168	-17.9290329294549
1.2129748055444	1.58044793176717	1.18275827000983	1.07913205846732	1.11388545969119	1.09151175261965	1.15950003077815	1.12736372348065	1.16633975390973	1.14601335057103	1.46180674100392	1.14601335057103	4.2208196554067	-13.2919617204747
4.85681576750615	-4.04313701926463	4.91965551103702	4.25740244252508	4.84773617015214	4.62920729003473	4.71620463477496	4.67880883282524	5.08968871530252	4.87520958791593	3.01225228953173	4.87520958791593	7.97876363031071	-7.75080014263858
2.66862020077705	6.48699784842014	2.87818262935091	3.02042649130252	2.86385611191326	2.91007771760076	2.67281777956182	2.77846579152728	3.20638380570068	2.98555861440086	1.23085615984615	2.98555861440086	7.8638514430106	-19.2809638506542
1.11686835950175	1.19292184093752	1.16156562349273	1.00603680104747	1.11995242349612	1.06414246659633	1.17727345139432	1.12453634071774	0.980707930984504	1.05420650513931	0.975251809419187	1.05420650513931	5.84907896790525	-21.8292882050552
1.35886006231069	1.62156096542771	1.25151267496723	1.13453192677754	1.23309060305343	1.18300751409052	1.33136056348328	1.26240550081108	1.1014067557263	1.18365616115197	2.01469224149246	1.18365616115197	3.82556529570879	-11.0899202630969
4.27412628292487	-3.37332201967995	4.3266109546043	3.77306252357488	4.24111491954842	4.06953466820577	4.19426809461581	4.13980073602949	4.46713460667335	4.29564901298426	3.54594646897248	4.29564901298426	1.94570956091116	18.1034571492012
3.32484680783518	10.7612618187946	3.11482984290312	3.82938874144575	3.15578903454481	3.41827582258999	3.12097083598664	3.25353046840822	2.79317725184911	3.02726750995836	3.37970410497653	3.02726750995836	13.1848356306089	-44.7989497990003
1.45715771958476	-13.6269044529003	1.24628699096406	0.0654397937861036	1.28688359264778	0.815124053291159	1.32864128608945	1.09908909047273	0.896946178418827	0.998841233687764	1.4763000568237	0.998841233687764	19.1230629909407	-85.9998185762321
2.17385615825155	-26.159347841034	1.98812138693893	-0.107509239362129	1.98064697848406	1.1788529188151	1.84552342892579	1.54807349715038	2.03824560835877	1.78622921139298	2.33191008860838	1.78622921139298	11.6639805627546	-44.6734216824754
2.98359387015704	-13.5887214227687	3.19125758733008	2.03680130764021	3.1948288317738	2.75811975303536	2.9183964393645	2.84816256236512	3.34726669767152	3.08912479579015	2.07107113744125	3.08912479579015	15.5447346160205	-54.6045034569205
0.132963886924255	-16.6095489881801	-0.223218686164366	-1.44256687661455	-0.272047516181531	-0.724762511149209	-0.048379061834655	-0.350610589659323	-0.598420622207031	-0.471510458746479	1.58281924515005	-0.471510458746479	5.28815065485767	-28.4879049315828
4.06074364870886	-8.66542542420599	4.17940425507982	3.39961753514542	4.10718869025069	3.84934417978989	3.83633734509474	3.84432538485947	4.38534332168742	4.10468698158096	3.39059391509961	4.10468698158096	6.26970214414773	-3.45405476544808
2.03578496661014	5.52541618682642	2.17908197397732	2.38438069736851	2.14203375044247	2.23008524318138	2.01647974581392	2.11204721365064	2.51323134638393	2.30627831709015	0.82290275364745	2.30627831709015	2.48038278662362	3.07658519701838
-0.108661394362164	-0.0469995713529656	-0.204756745869745	-0.154651411036667	-0.122097360424057	-0.134998944407357	-0.0273580611328302	-0.0763602899198843	-0.473630982267678	-0.269718229051041	1.03873040925134	-0.269718229051041	1.06621782828811	-6.88413018740882
0.415781010743861	0.598413743347702	0.373547124098105	0.357470901764436	0.378846739301946	0.367399985606018	0.360195316407625	0.36316968142358	0.252240081319243	0.308989265514746	0.750610287946234	0.308989265514746	0.671917362600586	-1.22191900398043
