rest_run-1	fingerTapping	emotionProcessing	rest_run-2	fingerTappingImagined	emotionProcessingImagined
0.0	0.0	0.0	0.0	0.0	0.0
0.0514704945430926	0.0735108757377023	0.25914522367217896	0.0791543148937813	0.0769232034193153	0.17912347800241396
0.0895272864814289	0.0515669782954535	0.106584110579026	0.11576082964417599	0.12019016814185601	0.111452079141666
0.0408881969515173	0.104172942195892	0.0413782504225514	0.291177468915362	0.12646262736432598	0.0824691871178984
0.0970346008226776	0.0734711721576487	0.115662713137644	0.0841027475468262	0.125098290966077	0.081380947718817
0.0959259634572185	0.147922823262297	0.0983269179594935	0.17152832616313698	0.0672532803944794	0.0577116533748929
0.0980109065431693	0.0739336224078601	0.0952795030004817	0.11100120129554801	0.119803861472259	0.0710034995221939
0.07198181775683099	0.0303141281339504	0.0883938248286536	0.168648675575363	0.0893962267124124	0.115520812821732
0.0438429956434683	0.111318063291235	0.0604668424418633	0.109476263137205	0.036845202716117	0.127719238137677
0.0581358543483693	0.145672620582834	0.0577267156776685	0.0953395985475992	0.0970774317124124	0.0744984221416659
0.0682768319687569	0.0607649705693631	0.0889189633864389	0.157014319836863	0.0987537577161173	0.09036475729375301
0.0655392791934682	0.0984243374315583	0.119474796400261	0.107988377191673	0.097280617283883	0.116806150382101
0.0670685417229673	0.0449234793140119	0.0909802910405065	0.0637789041631365	0.0887706603946062	0.14585706852219402
0.0451185847680797	0.0719159517614007	0.134389616999518	0.157714488594214	0.0763854889907858	0.136073021522192
0.0864599782975786	0.0490299404315584	0.0570467534225516	0.0494253454238637	0.0283953259659501	0.143349230021618
0.0534755233984828	0.119358424708765	0.0433993705997387	0.14739348640656	0.0817978640993381	0.168528703002413
0.113657179543169	0.0779806205693632	0.0225661724797685	0.15995095826279598	0.0587698684193147	0.131089734362322
0.0410284950483693	0.0827548548609623	0.0429064899225514	0.138195797736432	0.0770643528759536	0.0820679265221936
0.0485736826931691	0.0549755878423513	0.0794650859995181	0.186860373406559	0.0651290948025358	0.0508751823623227
0.0742221481725891	0.0881942414832725	0.0693081967285636	0.172060151663569	0.086054065900789	0.258878889957613
0.124601778068265	0.11520691223859901	0.0731140395981616	0.158481634906219	0.126230468990785	0.14322617414166597
0.10110602649316901	0.10491605680410801	0.0515562356713466	0.12261349704378098	0.14414764600921398	0.0675089284778063
0.134651804222967	0.0976751168992054	0.0526841544625764	0.152812116256219	0.0994574140993381	0.143465478477806
