echo2_FWE	echo2_noFWE	echo2_anatROI	echo2_fweAND	echo2_fweOR	combTSNR_FWE	combTSNR_noFWE	combTSNR_anatROI	combTSNR_fweAND	combTSNR_fweOR	combT2STAR_FWE	combT2STAR_noFWE	combT2STAR_anatROI	combT2STAR_fweAND	combT2STAR_fweOR	combTE_FWE	combTE_noFWE	combTE_anatROI	combTE_fweAND	combTE_fweOR	combT2STARfit_FWE	combT2STARfit_noFWE	combT2STARfit_anatROI	combT2STARfit_fweAND	combT2STARfit_fweOR	T2STARfit_FWE	T2STARfit_noFWE	T2STARfit_anatROI	T2STARfit_fweAND	T2STARfit_fweOR
30.2261695861816	30.2261695861816	30.2261695861816	30.2261695861816	30.2261695861816	30.3769664764404	30.3769664764404	30.3769664764404	30.3769664764404	30.3769664764404	30.574182510376	30.574182510376	30.574182510376	30.574182510376	30.574182510376	30.9368457794189	30.9368457794189	30.9368457794189	30.9368457794189	30.9368457794189	30.4204082489014	30.4204082489014	30.4204082489014	30.4204082489014	30.4204082489014	24.6980323791504	24.6980323791504	24.6980323791504	24.6980323791504	24.6980323791504
17.8374462127686	17.8374462127686	17.8374462127686	17.8374462127686	17.8374462127686	18.0431613922119	18.0431613922119	18.0431613922119	18.0431613922119	18.0431613922119	18.2459869384766	18.2459869384766	18.2459869384766	18.2459869384766	18.2459869384766	18.0571403503418	18.0571403503418	18.0571403503418	18.0571403503418	18.0571403503418	18.0371265411377	18.0371265411377	18.0371265411377	18.0371265411377	18.0371265411377	16.2986736297607	16.2986736297607	16.2986736297607	16.2986736297607	16.2986736297607
19.9355525970459	19.9355525970459	17.832067489624	19.9355525970459	19.9355525970459	19.801965713501	19.801965713501	19.801965713501	19.801965713501	19.801965713501	19.8899536132812	19.8899536132812	19.8899536132812	19.8899536132812	19.8899536132812	20.2129688262939	20.2129688262939	20.2129688262939	20.2129688262939	20.2129688262939	19.42018699646	19.42018699646	19.42018699646	19.42018699646	19.42018699646	13.5878915786743	13.5878915786743	12.7302532196045	13.5878915786743	13.5878915786743
19.5697917938232	19.5697917938232	17.6751728057861	19.5697917938232	19.5697917938232	19.5570430755615	19.5570430755615	18.4690475463867	19.5570430755615	19.5570430755615	20.0386638641357	20.0386638641357	18.6187992095947	20.0386638641357	20.0386638641357	20.5600185394287	20.5600185394287	19.1217365264893	20.5600185394287	20.5600185394287	19.8253917694092	19.8253917694092	18.4008235931396	19.8253917694092	19.8253917694092	16.920768737793	16.920768737793	15.9678039550781	16.920768737793	16.920768737793
31.8025512695312	31.8025512695312	30.2180347442627	31.8025512695312	31.8025512695312	33.1972846984863	33.1972846984863	33.1972846984863	33.1972846984863	33.1972846984863	33.3314971923828	33.3314971923828	33.3314971923828	33.3314971923828	33.3314971923828	33.6228370666504	33.6228370666504	33.6228370666504	33.6228370666504	33.6228370666504	32.6796569824219	32.6796569824219	32.5643463134766	32.6796569824219	32.6796569824219	23.2919120788574	23.2919120788574	23.2919120788574	23.2919120788574	23.2919120788574
20.1685962677002	20.1685962677002	20.1685962677002	20.1685962677002	20.1685962677002	21.3893985748291	21.3893985748291	21.3893985748291	21.3893985748291	21.3893985748291	22.1147518157959	22.1147518157959	22.1147518157959	22.1147518157959	22.1147518157959	22.1490459442139	22.1490459442139	22.1490459442139	22.1490459442139	22.1490459442139	21.069751739502	21.069751739502	21.069751739502	21.069751739502	21.069751739502	18.274227142334	18.274227142334	18.274227142334	18.274227142334	18.274227142334
21.791934967041	21.791934967041	21.791934967041	21.791934967041	21.791934967041	23.5521602630615	23.5521602630615	23.3376235961914	23.5521602630615	23.5521602630615	23.3890705108643	23.3890705108643	23.2080745697021	23.3890705108643	23.3890705108643	24.0933113098145	24.0933113098145	23.6996269226074	24.0933113098145	24.0933113098145	23.1924629211426	23.1924629211426	23.1924629211426	23.1924629211426	23.1924629211426	18.3416118621826	18.3416118621826	17.6616268157959	18.3416118621826	18.3416118621826
13.4921503067017	13.4921503067017	13.4921503067017	13.4921503067017	13.4921503067017	13.838098526001	13.838098526001	13.838098526001	13.838098526001	13.838098526001	13.9667024612427	13.9667024612427	13.9667024612427	13.9667024612427	13.9667024612427	13.9385080337524	13.9385080337524	13.9385080337524	13.9385080337524	13.9385080337524	13.7982206344604	13.7982206344604	13.7982206344604	13.7982206344604	13.7982206344604	12.703875541687	12.703875541687	12.703875541687	12.703875541687	12.703875541687
14.5161323547363	14.5161323547363	13.0862512588501	13.8051233291626	14.5161323547363	14.3310956954956	14.3310956954956	13.5035076141357	13.9404764175415	14.3310956954956	14.3404550552368	14.3404550552368	13.2805671691895	14.1782855987549	14.3404550552368	14.2496719360352	14.2496719360352	13.3836145401001	13.7903432846069	14.2496719360352	14.4423866271973	14.4423866271973	13.1708164215088	14.4423866271973	14.4423866271973	9.39536190032959	9.39536190032959	9.39536190032959	9.39536190032959	9.39536190032959
24.6708698272705	24.6708698272705	24.6708698272705	24.6708698272705	24.6708698272705	25.6869049072266	25.6869049072266	25.6869049072266	25.6869049072266	25.6869049072266	25.8494930267334	25.8494930267334	25.6586532592773	25.8494930267334	25.8494930267334	26.1406192779541	26.1406192779541	26.1406192779541	26.1406192779541	26.1406192779541	25.6224174499512	25.6224174499512	25.6224174499512	25.6224174499512	25.6224174499512	22.3214645385742	22.3214645385742	22.3214645385742	22.3214645385742	22.3214645385742
19.3088245391846	19.3088245391846	19.3088245391846	19.3088245391846	19.3088245391846	21.4095401763916	21.4095401763916	21.4095401763916	21.4095401763916	21.4095401763916	21.6942329406738	21.6942329406738	21.6942329406738	21.6942329406738	21.6942329406738	21.5712947845459	21.5712947845459	21.5712947845459	21.5712947845459	21.5712947845459	21.594539642334	21.594539642334	21.594539642334	21.594539642334	21.594539642334	14.7104206085205	14.7104206085205	14.7104206085205	14.7104206085205	14.7104206085205
27.1578845977783	27.1578845977783	25.7636966705322	27.1578845977783	27.1578845977783	27.6877689361572	27.6877689361572	26.881275177002	27.6877689361572	27.6877689361572	27.815113067627	27.815113067627	27.188850402832	27.815113067627	27.815113067627	27.8708877563477	27.8708877563477	27.2534141540527	27.8708877563477	27.8708877563477	27.9607105255127	27.9607105255127	26.3222675323486	27.9607105255127	27.9607105255127	20.3948268890381	20.3948268890381	20.298677444458	20.3948268890381	20.3948268890381
17.7991886138916	17.7991886138916	17.7991886138916	17.7991886138916	17.7991886138916	17.702709197998	17.702709197998	17.702709197998	17.702709197998	17.702709197998	17.76416015625	17.76416015625	17.76416015625	17.76416015625	17.76416015625	17.8299999237061	17.8299999237061	17.8299999237061	17.8299999237061	17.8299999237061	17.7375259399414	17.7375259399414	17.7375259399414	17.7375259399414	17.7375259399414	16.6495723724365	16.6495723724365	16.6495723724365	16.6495723724365	16.6495723724365
18.7761383056641	18.7761383056641	18.7761383056641	18.7761383056641	18.7761383056641	20.6034812927246	20.6034812927246	20.4083938598633	20.6034812927246	20.6034812927246	20.6141719818115	20.6141719818115	20.5925254821777	20.6141719818115	20.6141719818115	20.7622890472412	20.7622890472412	20.6831722259521	20.7622890472412	20.7622890472412	20.3455200195312	20.3455200195312	20.3208084106445	20.3455200195312	20.3455200195312	16.6015090942383	16.6015090942383	16.0910320281982	16.6015090942383	16.6015090942383
17.621603012085	17.621603012085	17.621603012085	17.621603012085	17.621603012085	18.2097930908203	18.2097930908203	18.2097930908203	18.2097930908203	18.2097930908203	18.2901229858398	18.2901229858398	18.2901229858398	18.2901229858398	18.2901229858398	18.5281753540039	18.5281753540039	18.5281753540039	18.5281753540039	18.5281753540039	18.3198375701904	18.3198375701904	18.3198375701904	18.3198375701904	18.3198375701904	17.0275001525879	17.0275001525879	17.0275001525879	17.0275001525879	17.0275001525879
20.7608642578125	20.7608642578125	9.33753776550293	20.7608642578125	20.7608642578125	20.5338306427002	20.5338306427002	9.06828689575195	20.5338306427002	20.5338306427002	20.4517688751221	20.4517688751221	9.22285652160645	20.4517688751221	20.4517688751221	20.6639957427979	20.6639957427979	9.37838649749756	20.6639957427979	20.6639957427979	20.203161239624	20.203161239624	8.88887977600098	20.203161239624	20.203161239624	18.8640670776367	18.8640670776367	8.7233304977417	18.8640670776367	18.8640670776367
21.1349487304688	21.1349487304688	15.3972177505493	21.1349487304688	21.1349487304688	21.7975158691406	21.7975158691406	16.4265460968018	21.7975158691406	21.7975158691406	21.6917686462402	21.6917686462402	16.5353736877441	21.6917686462402	21.6917686462402	22.3244361877441	22.3244361877441	16.6809883117676	22.3244361877441	22.3244361877441	20.9950904846191	20.9950904846191	16.3961887359619	20.9950904846191	20.9950904846191	18.0665855407715	18.0665855407715	12.8338766098022	18.0665855407715	18.0665855407715
16.4827194213867	16.4827194213867	16.4827194213867	16.4827194213867	16.4827194213867	16.533842086792	16.533842086792	16.533842086792	16.533842086792	16.533842086792	16.7113780975342	16.7113780975342	16.7113780975342	16.7113780975342	16.7113780975342	16.6465511322021	16.6465511322021	16.6465511322021	16.6465511322021	16.6465511322021	16.6790008544922	16.6790008544922	16.6790008544922	16.6790008544922	16.6790008544922	16.5675525665283	16.5675525665283	16.5675525665283	16.5675525665283	16.5675525665283
21.3702812194824	21.3702812194824	21.059513092041	21.3702812194824	21.3702812194824	21.7885150909424	21.7885150909424	21.7885150909424	21.7885150909424	21.7885150909424	21.8865451812744	21.8865451812744	21.8865451812744	21.8865451812744	21.8865451812744	22.708423614502	22.708423614502	22.708423614502	22.708423614502	22.708423614502	21.6682205200195	21.6682205200195	21.6682205200195	21.6682205200195	21.6682205200195	16.2354583740234	16.2354583740234	16.2354583740234	16.2354583740234	16.2354583740234
21.9945983886719	21.9945983886719	21.6856918334961	21.9945983886719	21.9945983886719	22.4986305236816	22.4986305236816	22.4986305236816	22.4986305236816	22.4986305236816	22.2245979309082	22.2245979309082	22.2245979309082	22.2245979309082	22.2245979309082	22.6753826141357	22.6753826141357	22.6753826141357	22.6753826141357	22.6753826141357	22.5175704956055	22.5175704956055	22.5175704956055	22.5175704956055	22.5175704956055	21.5367298126221	21.5367298126221	18.7200412750244	21.5367298126221	21.5367298126221
17.3447971343994	17.3447971343994	17.3447971343994	17.3447971343994	17.3447971343994	17.4486331939697	17.4486331939697	17.4486331939697	17.4486331939697	17.4486331939697	17.5344524383545	17.5344524383545	17.5344524383545	17.5344524383545	17.5344524383545	18.1125450134277	18.1125450134277	18.1125450134277	18.1125450134277	18.1125450134277	17.2396659851074	17.2396659851074	17.2396659851074	17.2396659851074	17.2396659851074	16.1438674926758	16.1438674926758	16.1438674926758	16.1438674926758	16.1438674926758
14.9925727844238	14.9925727844238	14.9925727844238	14.9925727844238	14.9925727844238	15.2728033065796	15.2728033065796	15.2728033065796	15.2728033065796	15.2728033065796	15.2971887588501	15.2971887588501	15.2971887588501	15.2971887588501	15.2971887588501	15.3316192626953	15.3316192626953	15.3316192626953	15.3316192626953	15.3316192626953	15.1440649032593	15.1440649032593	15.1440649032593	15.1440649032593	15.1440649032593	12.8624114990234	12.8624114990234	12.1954717636108	12.8624114990234	12.8624114990234
