echo2_FWE	echo2_noFWE	echo2_anatROI	echo2_fweAND	echo2_fweOR	combTSNR_FWE	combTSNR_noFWE	combTSNR_anatROI	combTSNR_fweAND	combTSNR_fweOR	combT2STAR_FWE	combT2STAR_noFWE	combT2STAR_anatROI	combT2STAR_fweAND	combT2STAR_fweOR	combTE_FWE	combTE_noFWE	combTE_anatROI	combTE_fweAND	combTE_fweOR	combT2STARfit_FWE	combT2STARfit_noFWE	combT2STARfit_anatROI	combT2STARfit_fweAND	combT2STARfit_fweOR	T2STARfit_FWE	T2STARfit_noFWE	T2STARfit_anatROI	T2STARfit_fweAND	T2STARfit_fweOR
-3.09039782723243	-2.57508804221103	-1.48441338972101	-4.91371002251839	-3.11942014157547	-3.47255419489962	-2.53267856945383	-1.21311446083928	-4.53467487940798	-3.32882421250435	-3.33704385717017	-2.42649064258229	-1.0388536983694	-4.40928793713065	-3.24165191954918	-3.50477760044867	-2.67589546890686	-1.38122151169435	-4.94779677092959	-3.53714031831176	-3.12070433944892	-2.11525151140655	-1.07485322568832	-4.14855229206682	-3.06867288588735	1.06453886457662	1.51937308100532	-1.07817525914118	-7.23753847767685	-3.65704697374332
-3.57602645338042	-3.07303600319597	0.0636768491216659	-4.47272052206654	-3.97903876109336	-3.33374952482476	-2.86816267223681	-0.19353569734714	-4.36076118767933	-3.83187932984553	-3.24984395985	-2.72635618259473	-0.228954925148143	-4.23926423312979	-3.7563077485237	-3.68175712071125	-2.78905758711494	0.307509293293443	-4.63936444705575	-4.10731941659158	-3.14383116346829	-2.79224117910613	-0.665982610833092	-3.85107237803765	-3.33183828226216	-6.84765144042746	-3.38171263392246	0.400432656921	-4.94369851052728	-2.95890885129303
-0.699391154887258	-1.37836570092964	-0.158303901238942	-2.50191555367852	-1.0680467048547	-0.817586515886005	-1.50019245881298	-0.55000331419085	-2.57302714748867	-0.860350297224392	-0.785596147970652	-1.4387995015608	-0.55525773866045	-2.41012218732005	-0.826290799768555	-0.671510382015677	-1.36098907510261	-0.324277568985205	-2.73017625167346	-0.953342116991857	-0.915942352079485	-1.55980500174309	-0.740840689677606	-2.20056738600542	-0.71211313624851	-3.54075156210689	-3.08488512404932	0.186738019272242	-2.6249968742365	-0.486305020645104
-1.68113170400391	-1.53611982356944	-0.53166624831418	-1.85705955959671	-1.7257362570986	-1.38914960097848	-1.36549632210595	-0.985367378491495	-1.88216147521938	-1.65721829637484	-1.41412948454426	-1.3648947511147	-1.02220753876619	-1.7760852205596	-1.62873735876502	-1.66646284338949	-1.49626005564794	-0.834050555617135	-2.00357041063258	-1.71370140681238	-1.3856887965193	-1.47351929846607	-1.14269751239489	-1.62978274685929	-1.50427399337784	-3.12107892609654	-1.90437430384962	-0.391090269464153	-1.05941795831658	-1.43300957774507
-0.322842433670504	-0.546053308446022	-0.579313702855996	-1.1798909072896	-0.43807819040946	-0.274385244903904	-0.556667454686186	-0.73382448899065	-1.12762174258358	-0.311866038564442	-0.236874552898793	-0.578506708725878	-0.771295865544183	-1.03643803004041	-0.293856911466074	-0.221663914250259	-0.597794574583514	-0.877752606588192	-1.21663594963261	-0.36908951781425	-0.229466380293199	-0.579894403062619	-0.57928137779038	-0.920833763151402	-0.19921552309263	-1.64344089606283	-1.84865150549493	-2.21235558246883	-1.79040664978752	-2.01002783394078
-0.984086102171668	-0.941425546918037	-0.211453281070781	-0.820872830130047	-1.05567591990898	-0.777404070529604	-0.885316792289187	-0.486182786592855	-0.739878839703171	-0.927579800580421	-0.754244018456329	-0.899914476419566	-0.483815331340138	-0.678843476071459	-0.901980777406262	-0.820959536369716	-1.00312331464219	-0.525084873320637	-0.845492351185532	-0.945767729311671	-0.760016942071312	-0.860013263682028	-0.474408357901766	-0.632876485168618	-0.814699705351215	-2.1495128447059	-1.480545299902	-1.49737968403935	-1.7686559555736	0.922515909070811
-0.241454640403647	-0.428152367956427	-0.0166760729614166	-0.366435865430555	-0.359625718938785	-0.215381699914339	-0.372448391168401	-0.218379782687091	-0.424342536895703	-0.266324305219375	-0.188586768512554	-0.377930756179689	-0.228808424009113	-0.39538012961728	-0.247308730163111	-0.162484152258376	-0.352501299673413	-0.24493809494866	-0.505382529258365	-0.315565587615568	-0.266423711240646	-0.472540737719057	-0.250601468775209	-0.413551616924418	-0.231735214352511	-2.69079094460756	-2.61186990954167	-0.991091497174934	-0.994165875674867	-1.07866404686275
-0.513266034417545	-0.451599388691426	-0.386730449875202	-0.681031983702302	-0.595048918557121	-0.462448497813172	-0.428673055302188	-0.324692219275827	-0.655719199294926	-0.583955114764751	-0.434728278480897	-0.435382231401098	-0.319260197332936	-0.598746953604869	-0.561277128701712	-0.468062762694468	-0.535654863479106	-0.453721303441515	-0.727071205302565	-0.571708186258579	-0.475255431082146	-0.494218617109802	-0.277106443476006	-0.5289178308447	-0.550900734514475	-1.74441856712917	-2.26534804758389	-1.43371771480912	-0.972798516147004	1.46032985067237
-0.393424731227768	-0.468112967956954	-0.269054596468067	-0.971054192422092	-0.534689432197568	-0.346518396852418	-0.474840047697701	-0.409641401763102	-0.762668361317575	-0.412569116577685	-0.313462978594307	-0.482198856831961	-0.409159472646963	-0.725043252043984	-0.394191884267248	-0.262791109222002	-0.490304386935387	-0.554444865105572	-0.820610475906316	-0.433270016723829	-0.391029620881059	-0.545647420911088	-0.251721604446771	-0.77625813282773	-0.390273468110206	-2.70176562625114	-2.22027060399343	-1.28578394111868	-1.70455387699001	0.254173174417982
-0.816063661268712	-0.561660129236023	0.0910799826866909	-0.307242201387619	-0.754097492869446	-0.597925689700853	-0.441520592215887	0.101671369397258	-0.257581023354348	-0.676211224814627	-0.581252397466147	-0.431799087565994	0.081835809601402	-0.207724217358494	-0.649217030137329	-0.718497958676404	-0.477271890243051	0.115556722537018	-0.300210371405015	-0.714039246958683	-0.58262858697194	-0.409304617385746	0.0182585952868079	-0.201487772001623	-0.635598772960524	-1.77192644225052	-1.88278967602095	-0.145747944671737	-0.930638799120336	-1.49424312337964
