fingerTapping_echo2_FWE	fingerTapping_echo2_noFWE	fingerTapping_echo2_anatROI	fingerTapping_echo2_fweAND	fingerTapping_echo2_fweOR	fingerTapping_combTSNR_FWE	fingerTapping_combTSNR_noFWE	fingerTapping_combTSNR_anatROI	fingerTapping_combTSNR_fweAND	fingerTapping_combTSNR_fweOR	fingerTapping_combT2STAR_FWE	fingerTapping_combT2STAR_noFWE	fingerTapping_combT2STAR_anatROI	fingerTapping_combT2STAR_fweAND	fingerTapping_combT2STAR_fweOR	fingerTapping_combTE_FWE	fingerTapping_combTE_noFWE	fingerTapping_combTE_anatROI	fingerTapping_combTE_fweAND	fingerTapping_combTE_fweOR	fingerTapping_combT2STARfit_FWE	fingerTapping_combT2STARfit_noFWE	fingerTapping_combT2STARfit_anatROI	fingerTapping_combT2STARfit_fweAND	fingerTapping_combT2STARfit_fweOR	fingerTapping_T2STARfit_FWE	fingerTapping_T2STARfit_noFWE	fingerTapping_T2STARfit_anatROI	fingerTapping_T2STARfit_fweAND	fingerTapping_T2STARfit_fweOR	emotionProcessing_echo2_FWE	emotionProcessing_echo2_noFWE	emotionProcessing_echo2_anatROI	emotionProcessing_echo2_fweAND	emotionProcessing_echo2_fweOR	emotionProcessing_combTSNR_FWE	emotionProcessing_combTSNR_noFWE	emotionProcessing_combTSNR_anatROI	emotionProcessing_combTSNR_fweAND	emotionProcessing_combTSNR_fweOR	emotionProcessing_combT2STAR_FWE	emotionProcessing_combT2STAR_noFWE	emotionProcessing_combT2STAR_anatROI	emotionProcessing_combT2STAR_fweAND	emotionProcessing_combT2STAR_fweOR	emotionProcessing_combTE_FWE	emotionProcessing_combTE_noFWE	emotionProcessing_combTE_anatROI	emotionProcessing_combTE_fweAND	emotionProcessing_combTE_fweOR	emotionProcessing_combT2STARfit_FWE	emotionProcessing_combT2STARfit_noFWE	emotionProcessing_combT2STARfit_anatROI	emotionProcessing_combT2STARfit_fweAND	emotionProcessing_combT2STARfit_fweOR	emotionProcessing_T2STARfit_FWE	emotionProcessing_T2STARfit_noFWE	emotionProcessing_T2STARfit_anatROI	emotionProcessing_T2STARfit_fweAND	emotionProcessing_T2STARfit_fweOR	fingerTappingImagined_echo2_FWE	fingerTappingImagined_echo2_noFWE	fingerTappingImagined_echo2_anatROI	fingerTappingImagined_echo2_fweAND	fingerTappingImagined_echo2_fweOR	fingerTappingImagined_combTSNR_FWE	fingerTappingImagined_combTSNR_noFWE	fingerTappingImagined_combTSNR_anatROI	fingerTappingImagined_combTSNR_fweAND	fingerTappingImagined_combTSNR_fweOR	fingerTappingImagined_combT2STAR_FWE	fingerTappingImagined_combT2STAR_noFWE	fingerTappingImagined_combT2STAR_anatROI	fingerTappingImagined_combT2STAR_fweAND	fingerTappingImagined_combT2STAR_fweOR	fingerTappingImagined_combTE_FWE	fingerTappingImagined_combTE_noFWE	fingerTappingImagined_combTE_anatROI	fingerTappingImagined_combTE_fweAND	fingerTappingImagined_combTE_fweOR	fingerTappingImagined_combT2STARfit_FWE	fingerTappingImagined_combT2STARfit_noFWE	fingerTappingImagined_combT2STARfit_anatROI	fingerTappingImagined_combT2STARfit_fweAND	fingerTappingImagined_combT2STARfit_fweOR	fingerTappingImagined_T2STARfit_FWE	fingerTappingImagined_T2STARfit_noFWE	fingerTappingImagined_T2STARfit_anatROI	fingerTappingImagined_T2STARfit_fweAND	fingerTappingImagined_T2STARfit_fweOR	emotionProcessingImagined_echo2_FWE	emotionProcessingImagined_echo2_noFWE	emotionProcessingImagined_echo2_anatROI	emotionProcessingImagined_echo2_fweAND	emotionProcessingImagined_echo2_fweOR	emotionProcessingImagined_combTSNR_FWE	emotionProcessingImagined_combTSNR_noFWE	emotionProcessingImagined_combTSNR_anatROI	emotionProcessingImagined_combTSNR_fweAND	emotionProcessingImagined_combTSNR_fweOR	emotionProcessingImagined_combT2STAR_FWE	emotionProcessingImagined_combT2STAR_noFWE	emotionProcessingImagined_combT2STAR_anatROI	emotionProcessingImagined_combT2STAR_fweAND	emotionProcessingImagined_combT2STAR_fweOR	emotionProcessingImagined_combTE_FWE	emotionProcessingImagined_combTE_noFWE	emotionProcessingImagined_combTE_anatROI	emotionProcessingImagined_combTE_fweAND	emotionProcessingImagined_combTE_fweOR	emotionProcessingImagined_combT2STARfit_FWE	emotionProcessingImagined_combT2STARfit_noFWE	emotionProcessingImagined_combT2STARfit_anatROI	emotionProcessingImagined_combT2STARfit_fweAND	emotionProcessingImagined_combT2STARfit_fweOR	emotionProcessingImagined_T2STARfit_FWE	emotionProcessingImagined_T2STARfit_noFWE	emotionProcessingImagined_T2STARfit_anatROI	emotionProcessingImagined_T2STARfit_fweAND	emotionProcessingImagined_T2STARfit_fweOR
830	2089	220	399	1054	910	2192	220	399	1054	906	2229	220	399	1054	999	2407	220	399	1054	845	2104	220	399	1054	433	1325	220	399	1054	1006	1852	401	96	1177	950	1677	401	96	1177	956	1680	401	96	1177	990	1878	401	96	1177	967	1809	401	96	1177	102	458	401	96	1177	1650	3861	220	568	2044	1687	3969	220	568	2044	1732	4018	220	568	2044	1831	4221	220	568	2044	1642	3939	220	568	2044	623	1872	220	568	2044	1605	5100	401	287	2384	1603	4996	401	287	2384	1698	5168	401	287	2384	1733	5246	401	287	2384	1588	5236	401	287	2384	555	2091	401	287	2384
1045	2341	532	560	1439	1228	2505	532	560	1439	1240	2509	532	560	1439	1381	2753	532	560	1439	1137	2374	532	560	1439	640	1609	532	560	1439	1714	2739	398	441	1980	1795	2767	398	441	1980	1783	2744	398	441	1980	1874	2949	398	441	1980	1690	2699	398	441	1980	453	1095	398	441	1980	2663	5942	532	608	3655	3071	6309	532	608	3655	3064	6313	532	608	3655	3332	6885	532	608	3655	2797	6047	532	608	3655	677	2216	532	608	3655	1416	2664	398	380	1739	1447	2679	398	380	1739	1457	2683	398	380	1739	1548	2838	398	380	1739	1435	2807	398	380	1739	416	1057	398	380	1739
2337	4722	278	1189	3055	2593	5173	278	1189	3055	2629	5212	278	1189	3055	2854	5640	278	1189	3055	2303	4823	278	1189	3055	1473	3321	278	1189	3055	888	1670	459	181	1064	900	1713	459	181	1064	888	1686	459	181	1064	953	1844	459	181	1064	869	1746	459	181	1064	185	542	459	181	1064	1502	3827	278	376	2062	1682	4011	278	376	2062	1672	3984	278	376	2062	1870	4463	278	376	2062	1539	3920	278	376	2062	481	1655	278	376	2062	2896	5271	459	1044	3535	2892	5056	459	1044	3535	2879	5048	459	1044	3535	3209	5600	459	1044	3535	2717	4987	459	1044	3535	1216	2708	459	1044	3535
813	1354	628	472	991	845	1352	628	472	991	847	1354	628	472	991	953	1507	628	472	991	797	1330	628	472	991	567	1104	628	472	991	1514	2446	426	771	1777	1567	2467	426	771	1777	1566	2447	426	771	1777	1706	2680	426	771	1777	1435	2408	426	771	1777	826	1603	426	771	1777	4057	6709	628	1620	4883	4138	6697	628	1620	4883	4119	6679	628	1620	4883	4624	7402	628	1620	4883	3849	6447	628	1620	4883	1801	3871	628	1620	4883	1825	4135	426	842	2343	1929	4240	426	842	2343	1937	4263	426	842	2343	2128	4734	426	842	2343	1777	3919	426	842	2343	1027	2912	426	842	2343
1270	2601	593	650	1562	1298	2567	593	650	1562	1308	2585	593	650	1562	1445	2866	593	650	1562	1203	2474	593	650	1562	742	1900	593	650	1562	955	1605	427	327	1080	911	1595	427	327	1080	923	1602	427	327	1080	1020	1811	427	327	1080	874	1576	427	327	1080	344	828	427	327	1080	2541	4971	593	851	3077	2555	4921	593	851	3077	2571	4959	593	851	3077	2858	5431	593	851	3077	2429	4869	593	851	3077	962	2701	593	851	3077	5807	9780	427	2137	6992	6071	9827	427	2137	6992	6079	9828	427	2137	6992	6450	10365	427	2137	6992	5850	9758	427	2137	6992	2285	5075	427	2137	6992
347	595	372	200	392	352	552	372	200	392	353	553	372	200	392	373	594	372	200	392	340	601	372	200	392	210	375	372	200	392	1277	2100	396	385	1457	1293	1974	396	385	1457	1286	1967	396	385	1457	1357	2154	396	385	1457	1284	2093	396	385	1457	391	814	396	385	1457	1551	3734	372	142	2070	1659	3715	372	142	2070	1652	3700	372	142	2070	1825	4138	372	142	2070	1606	3728	372	142	2070	162	1080	372	142	2070	3630	6136	396	1183	4412	3768	6280	396	1183	4412	3776	6260	396	1183	4412	4066	6741	396	1183	4412	3627	6155	396	1183	4412	1275	2736	396	1183	4412
287	1188	519	68	411	350	1296	519	68	411	347	1335	519	68	411	361	1408	519	68	411	344	1361	519	68	411	88	553	519	68	411	838	1534	462	144	1006	881	1705	462	144	1006	878	1692	462	144	1006	913	1779	462	144	1006	882	1808	462	144	1006	148	570	462	144	1006	2236	5313	519	587	2974	2601	5685	519	587	2974	2586	5721	519	587	2974	2713	6021	519	587	2974	2412	5496	519	587	2974	661	2187	519	587	2974	2480	5162	462	449	3286	2815	5399	462	449	3286	2835	5476	462	449	3286	2981	5781	462	449	3286	2626	5386	462	449	3286	480	1653	462	449	3286
2021	4392	639	887	2734	2156	4506	639	887	2734	2198	4549	639	887	2734	2386	4958	639	887	2734	1906	4004	639	887	2734	1211	3154	639	887	2734	627	1315	419	162	738	633	1414	419	162	738	632	1418	419	162	738	653	1437	419	162	738	633	1500	419	162	738	166	401	419	162	738	1484	4000	639	328	2037	1632	4450	639	328	2037	1653	4460	639	328	2037	1821	4832	639	328	2037	1536	4200	639	328	2037	410	2057	639	328	2037	3682	6543	419	1114	4565	3938	6689	419	1114	4565	3917	6683	419	1114	4565	4217	7175	419	1114	4565	3561	6269	419	1114	4565	1246	3074	419	1114	4565
604	1361	549	276	781	680	1404	549	276	781	680	1440	549	276	781	734	1530	549	276	781	608	1353	549	276	781	310	764	549	276	781	1202	2323	388	271	1468	1249	2267	388	271	1468	1245	2223	388	271	1468	1365	2528	388	271	1468	1167	2151	388	271	1468	280	639	388	271	1468	2310	4709	549	558	2929	2329	4542	549	558	2929	2352	4583	549	558	2929	2618	5062	549	558	2929	2167	4269	549	558	2929	629	1746	549	558	2929	2875	4857	388	626	3512	2975	4955	388	626	3512	2970	4959	388	626	3512	3213	5381	388	626	3512	2763	4765	388	626	3512	693	1938	388	626	3512
1035	2058	422	443	1294	1116	2194	422	443	1294	1136	2214	422	443	1294	1235	2384	422	443	1294	1033	2084	422	443	1294	487	1232	422	443	1294	642	1215	440	68	770	633	1152	440	68	770	638	1155	440	68	770	685	1240	440	68	770	627	1137	440	68	770	69	308	440	68	770	3084	5932	422	744	3962	3388	6158	422	744	3962	3369	6149	422	744	3962	3648	6670	422	744	3962	3185	5950	422	744	3962	874	2899	422	744	3962	2384	5220	440	572	3064	2434	5092	440	572	3064	2413	5098	440	572	3064	2655	5627	440	572	3064	2232	4835	440	572	3064	711	2388	440	572	3064
566	1317	220	244	645	555	1407	220	244	645	556	1392	220	244	645	587	1427	220	244	645	535	1444	220	244	645	260	608	220	244	645	1071	2997	436	116	1406	1182	3139	436	116	1406	1193	3148	436	116	1406	1215	3348	436	116	1406	1114	3120	436	116	1406	131	1161	436	116	1406	1664	3574	220	501	1974	1564	3300	220	501	1974	1571	3308	220	501	1974	1797	3672	220	501	1974	1522	3340	220	501	1974	547	1492	220	501	1974	3631	5587	436	1423	4206	3572	5438	436	1423	4206	3572	5434	436	1423	4206	3846	5882	436	1423	4206	3455	5329	436	1423	4206	1546	2959	436	1423	4206
