sub-001	sub-002	sub-003	sub-004	sub-005	sub-006	sub-007	sub-010	sub-011	sub-012	sub-013	sub-015	sub-016	sub-017	sub-018	sub-019	sub-020	sub-021	sub-022	sub-023	sub-024	sub-025	sub-026	sub-027	sub-029	sub-030	sub-031	sub-032
0.24496353973550858	0.11093139237093948	0.20229520205103163	0.020021975338786472	-0.46380173361005983	0.030399218654620926	0.032474667317787816	0.42998412892198756	0.37651080454157004	0.47939194483623254	-0.22585764863874985	0.1789769258942742	-0.0003595828838547285	-0.13856671957026004	0.06538214515093128	-0.4695896433805569	-0.15553656452203637	-0.1331949700891222	-0.1284336466853864	-0.167774736018772	-0.47625442558906117	-0.41575229219900794	-0.5449884019045294	-0.36613356122573554	-0.21922110552763818	0.007935539006226346	-0.20791112196313027	0.11659138078378709
0.08527994067482388	-0.05647661409893517	0.1214747894030033	-0.000732511292882432	0.03345134904163106	0.024905383958002687	0.5369307776828226	0.35990721523623487	0.18959833964106948	0.4917724494593324	-0.2895861311195214	0.486143328042974	0.000719165767709457	0.4628250518862166	0.31265253692999356	-0.48619931607230094	-0.18898791356366745	-0.1123183982419729	-0.13026492491759248	-0.27023856081345327	-0.5823464778415334	0.1423418006914174	-0.4955438896349652	-0.4522036381394213	0.1806532663316583	-0.12123061897204249	-0.15297277499694786	0.30606763520937613
-0.08256087010258312	-0.23156759671114704	-0.0010987669393236479	-0.11317299475033574	0.25137345867415456	-0.02453912831156147	0.33610059821755583	0.2680991331949701	-0.014650225857648639	0.381288199341796	-0.3780979123428153	0.2571114638017336	-0.0003595828838547285	0.3055792943474545	0.13795761078998073	-0.41279921836834393	-0.15114149676474178	0.0030521303870101333	-0.2036381394213161	-0.326424195020206	-0.536442436820901	0.664812866376071	-0.2429495788060066	-0.33597851300207543	0.2557788944723618	-0.17726773287754852	-0.39299230863142476	0.3053351239164937
-0.24187368681250773	-0.3434425124679876	-0.06128677817116347	-0.22756684165547553	0.14796728116225125	-0.13600293004517153	0.20925405933341473	0.19851056037113907	-0.0986448541081675	0.1866478608368594	-0.38151629837626666	-0.008179709437187157	-0.001438331535418914	0.23232816505921133	-0.024149004495825306	-0.15266243282852957	0.4290074471981443	-0.1653033817604688	-0.32010743498962274	-0.39721027245469953	-0.165059211329508	0.36284382985119495	0.012086436332560128	-0.10841167134659993	0.05351758793969849	-0.27896471737272616	-0.6324014161884995	0.2541814186302039
-0.4010629094055123	-0.4338859684593611	-0.10621413746795264	-0.303625930899768	0.015016481504089855	-0.29459162495421803	0.058600903430594556	0.17372726162861676	-0.26284946892931266	0.03620122237893747	-0.02185325357099255	-0.062263459895006715	-0.0003595828838547285	0.04688072274447565	-0.05497752087347463	0.11162677088422081	0.20180686118911	-0.388841411305091	-0.45708704675863754	-0.4407508799374267	0.2013185203271884	0.1417405681647377	0.26761079233304846	0.1076791600537175	-0.03391959798994975	-0.02453912831156147	-0.6319130753265779	0.08545965083628372
-0.542578173278952	-0.47540099743900793	-0.15932120620192894	-0.344890733732145	-0.06739103894518374	-0.3633256012696862	0.06678061286778171	0.3704065437675497	-0.3280429739958491	-0.07976806143237737	0.5040898547185936	-0.10035404712489318	0.001438331535418914	-0.02637040654376755	-0.036865767501605654	0.2438935026868588	0.06519350506653644	-0.6129898669271151	-0.4982297643755341	-0.3905618563420675	0.0827737760957148	0.1950999549075605	0.2503967769503113	0.25552435600048834	-0.0685929648241206	0.3921377121230619	-0.7384934684409717	-0.12660236845318032
-0.5630947966876777	-0.5092330502763176	0.321084116713466	-0.02380661701867904	-0.10340617751190331	-0.2544255890611647	-0.036747649859602	0.6476620681235502	-0.3673544133805396	-0.15984955336154208	0.33439140520083016	-0.17384934684409717	-0.002157497303128371	-0.0413868880478574	-0.11997430956968529	-0.03053248656570591	0.04199731412525943	-0.8481259919423758	-0.5388841411305091	0.14131143266849172	-0.17812232938591135	0.1519615211182925	0.10059821755585399	0.09949945061653034	-0.2121859296482412	0.32535709925528017	-0.5513368331095104	-0.2477109022097424
-0.5797800024718823	-0.5879498584714921	0.6055426687828104	0.34574533024050785	-0.18202905628128432	0.37358075937004026	-0.1447930655597607	0.4197289708216335	-0.15687950189232083	-0.22896097790314998	0.1900866805029911	-0.21242827493590527	0.0	-0.020144060554266877	-0.23789338471419397	0.061919882755251586	-0.009766817238432425	-0.7170064705164204	-0.15919912098644853	0.4415330465389128	-0.1723843242583323	-0.05305877047948294	0.08106458307898913	0.026248321328287146	-0.33379396984924625	0.24954218044194848	-0.29727749969478695	-0.3004517152972775
-0.6150043257940923	-0.4081412589297749	0.4469539738737639	0.25589061164692956	-0.266267854962764	0.2613844463435478	-0.24197289708216335	0.30680014650225856	0.5014039799780247	-0.2947813822284908	0.04712489317543646	-0.3094860212428275	-0.002157497303128371	-0.13356122573556342	-0.3491329479768786	0.14728871519296532	-0.07007691368575265	-0.4934684409717983	0.31778781589549504	0.2071437882935732	-0.17531436942986203	-0.18893732150909365	-0.04480527408130875	-0.13832254913929923	-0.4128140703517588	0.13881089000122085	-0.053717494811378344	-0.3348797460627518
-0.46434309726857004	-0.15150289796468527	0.31327066292272004	0.08619216212916615	-0.31302649249175923	0.1443047246978391	-0.26260529849835185	0.3702844585520693	0.3234037358075937	-0.3491615734210939	0.09119765596386277	-0.38847515565864976	0.0025170801869830997	-0.20669026980832622	-0.42697495183044315	-0.07816316560820713	-0.12184104504944451	-0.26944207056525454	0.18031986326455865	-0.0393690522748012	-0.2960566475399829	-0.3063279723433038	-0.21377121230618973	-0.32071786106702477	-0.4695979899497487	0.06946648760835063	-0.012330606763520938	-0.38102795751434504
