anat_roi	echo2_FWE	echo2_noFWE	combTSNR_FWE	combTSNR_noFWE	combT2STAR_FWE	combT2STAR_noFWE	combTE_FWE	combTE_noFWE
179	0	27	0	37	0	34	1	44
186	0	0	0	0	0	0	0	0
183	3	0	7	21	5	36	7	38
193	0	0	0	0	0	0	0	0
180	0	0	0	0	0	0	0	0
160	5	31	12	58	11	56	14	64
166	0	0	0	0	0	0	0	0
178	0	0	0	19	0	24	0	21
188	0	0	0	0	0	0	0	0
190	0	0	0	0	0	0	0	0
170	0	43	0	24	0	22	0	21
197	0	13	0	20	0	20	0	22
181	0	0	0	18	0	0	0	0
199	7	39	13	42	12	43	14	44
160	0	0	0	0	0	0	0	0
203	0	0	0	13	0	8	0	3
151	0	0	0	0	0	0	0	0
163	0	0	1	0	1	0	1	0
169	2	23	4	22	4	21	1	20
206	10	62	32	84	31	84	32	84
182	0	0	0	0	0	0	0	0
188	0	0	0	1	0	1	0	0
183	0	0	3	22	3	20	3	19
193	10	60	15	73	14	70	13	78
179	2	35	8	69	7	64	7	67
159	10	57	18	74	15	74	17	77
182	0	0	0	0	0	0	0	0
175	0	0	0	23	0	22	0	28
